class,pixel_diff_n_images,pixel_diff_mean_ap,pixel_diff_median_ap,pixel_diff_std_ap,pixel_diff_mean_auc,pixel_diff_median_auc,pixel_diff_mean_lift,pixel_diff_top1_hit_rate,pixel_diff_top5_hit_rate,pixel_diff_top10_hit_rate,dinov2_diff_n_images,dinov2_diff_mean_ap,dinov2_diff_median_ap,dinov2_diff_std_ap,dinov2_diff_mean_auc,dinov2_diff_median_auc,dinov2_diff_mean_lift,dinov2_diff_top1_hit_rate,dinov2_diff_top5_hit_rate,dinov2_diff_top10_hit_rate,hybrid_pixel_dino_n_images,hybrid_pixel_dino_mean_ap,hybrid_pixel_dino_median_ap,hybrid_pixel_dino_std_ap,hybrid_pixel_dino_mean_auc,hybrid_pixel_dino_median_auc,hybrid_pixel_dino_mean_lift,hybrid_pixel_dino_top1_hit_rate,hybrid_pixel_dino_top5_hit_rate,hybrid_pixel_dino_top10_hit_rate
Missing_hole,115,0.5127303578572237,0.489469241001395,0.11858593704565928,0.7553752944312793,0.759749659400545,8.094760704040528,1.0,1.0,1.0,115,0.3651797202652856,0.35584269823109627,0.19385461266748197,0.9314427973498599,0.9391709590385087,16.380443995931874,0.45217391304347826,0.8695652173913043,0.9478260869565217,115,0.599174942893655,0.5882212268002294,0.1135485628872653,0.9176190460229291,0.9311563351498637,20.814971227231233,1.0,1.0,1.0
Mouse_bite,115,0.5271498600679145,0.520840471413312,0.18071780456832917,0.7964512852635075,0.8092226842226842,2.7618881826815396,0.8521739130434782,0.991304347826087,0.991304347826087,115,0.49122510749262416,0.49109614824074144,0.18688823255536643,0.9346674079801176,0.9489795918367346,26.21724918458773,0.8173913043478261,0.9826086956521739,0.991304347826087,115,0.6257785622793667,0.650559038662487,0.1782407874265758,0.8957913027117806,0.90671875,7.702614697166111,0.8521739130434782,0.991304347826087,0.991304347826087
Open_circuit,116,0.6364078227707668,0.6314581254186392,0.145690669300127,0.8445791254853697,0.8589020886805442,2.952576554027097,0.9827586206896551,1.0,1.0,116,0.45630553388392875,0.4457962932761616,0.221999607388442,0.9480707304340522,0.9598163969764968,25.128209560081878,0.7327586206896551,0.9741379310344828,0.9827586206896551,116,0.7042368310063442,0.6940361257699631,0.13501926295089303,0.9251000226758263,0.9395221784224423,8.12734439660763,0.9827586206896551,1.0,1.0
Short,116,0.42409773509868864,0.429416951526414,0.11532504132559898,0.7314461516761802,0.7321065186511857,2.1266572249346765,0.9913793103448276,1.0,1.0,116,0.37529814288983837,0.40436283677547696,0.16568007967501822,0.9094414494297685,0.9232356040006764,16.506932552518517,0.8189655172413793,0.9051724137931034,0.9310344827586207,116,0.50501009710611,0.5100549386801347,0.12823985624345322,0.8368770533014708,0.8464513095220467,5.2553750872612,0.9913793103448276,1.0,1.0
Spur,115,0.5111630302015198,0.5113427387797143,0.1686213959824538,0.7932614211520107,0.8049628942486086,2.5772483950075897,0.8173913043478261,0.991304347826087,0.991304347826087,115,0.4100649425000125,0.4121130046906601,0.19704632668827032,0.9079269386129598,0.9243386929460581,19.945507413926332,0.7478260869565218,0.9217391304347826,0.9826086956521739,115,0.6000299053053999,0.6303514621774696,0.1869371087571536,0.8807305815939054,0.9044067796610169,6.859574580710867,0.8173913043478261,0.991304347826087,0.991304347826087
Spurious_copper,116,0.5761069712432372,0.55316250696412,0.1513543291487303,0.7979345758913265,0.7982786488538693,2.973428928132715,0.9741379310344828,0.9827586206896551,0.9827586206896551,116,0.32155768177104294,0.3273969718034979,0.1903816766383088,0.8871436728692628,0.9132455581335002,14.89132161592615,0.5862068965517241,0.8448275862068966,0.8879310344827587,116,0.6209157710051942,0.6117438995407117,0.14876489447785846,0.8783210598410872,0.8896114102986967,7.799362293605147,0.9741379310344828,0.9827586206896551,0.9827586206896551
