board_id,pixel_diff_n_images,pixel_diff_mean_ap,pixel_diff_median_ap,pixel_diff_std_ap,pixel_diff_mean_auc,pixel_diff_median_auc,pixel_diff_mean_lift,pixel_diff_top1_hit_rate,pixel_diff_top5_hit_rate,pixel_diff_top10_hit_rate,dinov2_diff_n_images,dinov2_diff_mean_ap,dinov2_diff_median_ap,dinov2_diff_std_ap,dinov2_diff_mean_auc,dinov2_diff_median_auc,dinov2_diff_mean_lift,dinov2_diff_top1_hit_rate,dinov2_diff_top5_hit_rate,dinov2_diff_top10_hit_rate,hybrid_pixel_dino_n_images,hybrid_pixel_dino_mean_ap,hybrid_pixel_dino_median_ap,hybrid_pixel_dino_std_ap,hybrid_pixel_dino_mean_auc,hybrid_pixel_dino_median_auc,hybrid_pixel_dino_mean_lift,hybrid_pixel_dino_top1_hit_rate,hybrid_pixel_dino_top5_hit_rate,hybrid_pixel_dino_top10_hit_rate
01,120,0.4210332401227561,0.41055250160087564,0.18116139091685027,0.7317336387742991,0.711444618165548,3.3758485118548074,0.6916666666666667,0.9916666666666667,0.9916666666666667,120,0.3743226595023302,0.3898832967687939,0.21230324622603622,0.9237447770125657,0.9472220303739998,30.668099389473596,0.5166666666666667,0.8833333333333333,0.9583333333333334,120,0.5062912036021119,0.513768478777016,0.1820940551714207,0.8374467528907855,0.8386965094242227,9.978838272889455,0.6916666666666667,0.9916666666666667,0.9916666666666667
04,120,0.5539328904842089,0.5214463431263969,0.19566109103003473,0.8077377199026249,0.8138325576241134,3.4664305036266643,0.975,0.9916666666666667,0.9916666666666667,120,0.3596463929945541,0.3584850199856335,0.19126264751602587,0.9225451673042679,0.9443401130193136,21.046441155672074,0.4583333333333333,0.8916666666666667,0.9,120,0.6285891891196925,0.6430125822783179,0.1715087146897389,0.8990884732004562,0.9212615990780346,8.691348014275233,0.975,0.9916666666666667,0.9916666666666667
05,60,0.5612644512785113,0.5334877217794548,0.13900580344960486,0.7951063180387565,0.7850601673812834,3.1659816960493723,0.9833333333333333,1.0,1.0,60,0.33517179432734806,0.31160393620107524,0.20003030759104373,0.9121462176884948,0.9244040962198358,14.765828776359559,0.6666666666666666,0.8333333333333334,0.9,60,0.6085227321046752,0.6161777898720673,0.1500371193243759,0.8947574738971772,0.9001682572918548,8.178300321102142,1.0,1.0,1.0
06,61,0.5724742276973943,0.558338419659533,0.16510032858046028,0.830886475563902,0.8358288770053477,3.1539937746329385,0.9672131147540983,0.9672131147540983,0.9672131147540983,61,0.3707467061970522,0.3453721580866579,0.2162242257378939,0.8798307116280334,0.8897691044343542,16.6775652893254,0.7704918032786885,0.9016393442622951,0.9508196721311475,61,0.646386455413644,0.6528253999215179,0.18921147884674722,0.8899388129917729,0.9028445512820512,7.742375677726308,0.9672131147540983,0.9672131147540983,0.9672131147540983
07,60,0.5144525614726098,0.5166867414140319,0.11493336568260247,0.7819072401016497,0.7924714265046297,3.3089651584625246,1.0,1.0,1.0,60,0.29059250107424783,0.24906926503532828,0.16748596502007315,0.8766513521076044,0.8890570934256056,9.526515515645345,0.6333333333333333,0.8833333333333333,0.9666666666666667,60,0.5326178654529075,0.5462059860691072,0.12777004228907593,0.8757147039856467,0.886020423233856,7.348369975884755,1.0,1.0,1.0
08,60,0.5563007275340609,0.5419304729560002,0.13122553086501532,0.8232266165979881,0.8291479616046977,3.7650926490624745,1.0,1.0,1.0,60,0.46769560322544546,0.4629897218375625,0.17219953452593534,0.9515970187158512,0.9583293165652428,19.482126561800637,0.9333333333333333,0.9666666666666667,1.0,60,0.641493112449781,0.633270551553764,0.12480159443594353,0.930568202554576,0.9421109994842726,11.904499125480651,0.9833333333333333,1.0,1.0
09,60,0.5851689927349993,0.5571992073951938,0.1428439548746378,0.8062599490160829,0.7950831283036397,4.005170220136643,1.0,1.0,1.0,60,0.43268169775908716,0.4473853735081482,0.14737621142790977,0.9326088843787301,0.9420215694363311,20.642714659372967,0.8,1.0,1.0,60,0.6525293823835691,0.657623992465783,0.1253775274861,0.8996962598544301,0.913083738253555,11.137090675036113,1.0,1.0,1.0
10,32,0.525703783057301,0.522806470790335,0.08784906486588832,0.7705100383621974,0.7771259235267165,4.960777893662453,1.0,1.0,1.0,32,0.47600226903668463,0.5030168608452644,0.13402377710893115,0.9339405072690521,0.9381396181823933,13.370096310973167,0.875,1.0,1.0,32,0.618205247907488,0.6213888691526706,0.08936336234519038,0.9108151823706854,0.9218542151116897,11.245751217007637,1.0,1.0,1.0
11,60,0.5559218015444408,0.5332200150698176,0.12287571727773562,0.7759503154572925,0.7818397972405231,4.66186439593633,0.9833333333333333,1.0,1.0,60,0.5589828842114475,0.562509715214414,0.15036540234194423,0.9411853797963929,0.9524154906553706,16.023337841033936,0.9833333333333333,1.0,1.0,60,0.6907175572170253,0.6805214487483894,0.11463638279747243,0.918692056864421,0.9171140539250775,11.677958385149639,0.9833333333333333,1.0,1.0
12,60,0.5515188369591701,0.5238126782468229,0.10917910028642881,0.7673412903431662,0.7689008437686446,2.872843658924103,1.0,1.0,1.0,60,0.4729894058030711,0.5131376617556774,0.21464185396419555,0.923874272488522,0.9325245416986244,21.20311716000239,0.7833333333333333,0.9,0.9333333333333333,60,0.6536889581049968,0.6544372002994654,0.11016586196763013,0.8853081392339863,0.8778120936280884,7.302508759498596,1.0,1.0,1.0
